,Product_Name,Review,Sentiment,Star
0,Iphone 15 Pro,simple,Positive,5 ⭐
1,Iphone 15 Pro,this product is amazing,Positive,5 ⭐
2,Iphone 15 Pro,bad,Negative,1 ⭐
3,American Tourist Bag,very good,Positive,5 ⭐
4,American Tourist Bag,impressive,Positive,5 ⭐
5,American Tourist Bag,bad,Negative,1 ⭐
6,Iphone 15 Pro,very good,Positive,5 ⭐
7,Iphone 15 Pro,working good,Positive,5 ⭐
8,American Tourist Bag,very good,Positive,5 ⭐
9,American Tourist Bag,very good,Positive,5 ⭐
10,American Tourist Bag,product is nice working good,Neutral,2 ⭐
11,American Tourist Bag,really great one this is absolutely fine,Positive,5 ⭐
12,American Tourist Bag,"worth the money
",Neutral,3 ⭐
13,Iphone 15 Pro,worth the money,Neutral,3 ⭐
14,Iphone 15 Pro,very good ,Positive,5 ⭐
15,Iphone 15 Pro,worst bad,Negative,1 ⭐
